--- 分析日志 for: VAH11.csv ---
--- 协议: 20% power reduction ---

清洗后发现 15869 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5118.25    | 其他充电阶段                              | I= 1501.7mA, V=3.90V, P=  5.85W
2        | 5128.25         | 1993.09    | 恒压充电 (CV Charge)                    | I=  423.7mA, V=4.20V, P=  1.78W
3        | 7131.34         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 8021.39         | 3599.95    | RPT: C/5 容量测试放电                     | I= -598.3mA, V=4.07V, P= -2.43W
5        | 11621.34        | 30.00      | RPT: IR测量前静置                        | I=  -66.4mA, V=4.02V, P= -0.27W
6        | 11651.34        | 7200.00    | RPT: C/5 容量测试放电                     | I= -598.8mA, V=3.81V, P= -2.28W
7        | 18851.34        | 30.00      | RPT: IR测量前静置                        | I=  -67.1mA, V=3.64V, P= -0.24W
8        | 18881.34        | 7530.23    | RPT: C/5 容量测试放电                     | I= -598.8mA, V=3.30V, P= -1.97W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3049.51 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26421.57        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.75V, P=  0.00W
10       | 27341.57        | 3055.85    | 恒流充电 (CC Charge)                    | I= 3001.9mA, V=3.80V, P= 11.41W
11       | 30427.42        | 1946.65    | 恒压充电 (CV Charge)                    | I=  917.5mA, V=4.20V, P=  3.85W
12       | 32404.07        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33274.12        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11260.2mA, V=3.82V, P=-42.94W
14       | 33349.07        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.8mA, V=3.89V, P=-12.95W
15       | 34149.07        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12054.1mA, V=3.50V, P=-42.10W
16       | 34284.07        | 507.06     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
17       | 34821.13        | 1011.35    | 恒流充电 (CC Charge)                    | I= 3001.7mA, V=4.05V, P= 12.16W
18       | 35862.48        | 1682.66    | 恒压充电 (CV Charge)                    | I=  951.5mA, V=4.20V, P=  4.00W
19       | 37575.14        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38445.19        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11252.4mA, V=3.82V, P=-42.95W
21       | 38520.14        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.1mA, V=3.89V, P=-12.95W
22       | 39320.14        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12054.0mA, V=3.50V, P=-42.10W
23       | 39455.14        | 568.48     | 静置 (Rest)                           | I=    0.0mA, V=3.79V, P=  0.00W
24       | 40053.62        | 1018.18    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.16W
25       | 41101.80        | 1639.58    | 恒压充电 (CV Charge)                    | I=  968.7mA, V=4.20V, P=  4.07W
26       | 42771.38        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 43641.44        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-11245.2mA, V=3.82V, P=-42.96W
28       | 43716.38        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3334.0mA, V=3.89V, P=-12.96W
29       | 44516.38        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12052.2mA, V=3.50V, P=-42.10W
30       | 44651.38        | 591.13     | 静置 (Rest)                           | I=    0.0mA, V=3.80V, P=  0.00W
31       | 45272.51        | 1020.54    | 恒流充电 (CC Charge)                    | I= 3002.6mA, V=4.05V, P= 12.17W
32       | 46323.05        | 1633.86    | 恒压充电 (CV Charge)                    | I=  963.2mA, V=4.20V, P=  4.05W
33       | 47986.91        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 48856.96        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11242.7mA, V=3.82V, P=-42.96W
35       | 48931.92        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.9mA, V=3.89V, P=-12.96W
36       | 49731.91        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12053.4mA, V=3.50V, P=-42.11W
37       | 49866.91        | 608.19     | 静置 (Rest)                           | I=    0.0mA, V=3.80V, P=  0.00W
38       | 50505.11        | 1021.76    | 恒流充电 (CC Charge)                    | I= 3002.2mA, V=4.05V, P= 12.17W
39       | 51556.86        | 1631.59    | 恒压充电 (CV Charge)                    | I=  960.4mA, V=4.20V, P=  4.03W
40       | 53218.45        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 54088.51        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-11239.9mA, V=3.82V, P=-42.96W
42       | 54163.45        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3333.0mA, V=3.89V, P=-12.96W
43       | 54963.45        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-12056.2mA, V=3.50V, P=-42.11W
