--- 分析日志 for: VAH16.csv ---
--- 协议: CC charge current 1.5C ---

清洗后发现 3933 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5053.77    | 其他充电阶段                              | I= 1489.6mA, V=3.90V, P=  5.81W
2        | 5083.77         | 1805.97    | 恒压充电 (CV Charge)                    | I=  442.4mA, V=4.20V, P=  1.86W
3        | 6919.74         | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7789.79         | 3599.95    | RPT: C/5 容量测试放电                     | I= -610.9mA, V=4.06V, P= -2.48W
5        | 11389.74        | 30.00      | RPT: IR测量前静置                        | I=  -78.2mA, V=4.02V, P= -0.31W
6        | 11419.74        | 7200.00    | RPT: C/5 容量测试放电                     | I= -610.9mA, V=3.81V, P= -2.33W
7        | 18619.74        | 30.00      | RPT: IR测量前静置                        | I=  -77.7mA, V=3.64V, P= -0.28W
8        | 18649.74        | 7687.32    | RPT: C/5 容量测试放电                     | I= -610.9mA, V=3.30V, P= -2.01W

>>> RPT数据点记录: Capacity = 3138.38 mAh, Mission Cycle = 0 <<<

9        | 26367.06        | 870.00     | 静置 (Rest)                           | I=    0.0mA, V=2.76V, P=  0.00W
10       | 27267.06        | 1909.14    | 恒流充电 (CC Charge)                    | I= 4488.7mA, V=3.83V, P= 17.20W
11       | 29206.20        | 1985.47    | 恒压充电 (CV Charge)                    | I= 1108.5mA, V=4.20V, P=  4.66W
12       | 31221.68        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 32091.73        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14384.4mA, V=3.73V, P=-53.66W
14       | 32166.68        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4269.3mA, V=3.81V, P=-16.25W
15       | 32966.68        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16031.2mA, V=3.29V, P=-52.62W
16       | 33101.67        | 816.17     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
17       | 33947.85        | 836.49     | 恒流充电 (CC Charge)                    | I= 4488.8mA, V=4.01V, P= 18.02W
18       | 34814.34        | 1854.54    | 恒压充电 (CV Charge)                    | I= 1166.2mA, V=4.20V, P=  4.90W
19       | 36698.88        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 37568.93        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14370.0mA, V=3.74V, P=-53.66W
21       | 37643.88        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4267.5mA, V=3.81V, P=-16.25W
22       | 38443.88        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16053.6mA, V=3.29V, P=-52.62W
23       | 38578.88        | 857.09     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
24       | 39465.97        | 836.65     | 恒流充电 (CC Charge)                    | I= 4489.0mA, V=4.01V, P= 18.02W
25       | 40332.61        | 1836.16    | 恒压充电 (CV Charge)                    | I= 1162.1mA, V=4.20V, P=  4.88W
26       | 42198.78        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 43068.83        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14362.9mA, V=3.74V, P=-53.67W
28       | 43143.78        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.8mA, V=3.81V, P=-16.25W
29       | 43943.78        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16070.0mA, V=3.29V, P=-52.62W
30       | 44078.77        | 864.35     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
31       | 44973.12        | 837.65     | 恒流充电 (CC Charge)                    | I= 4489.0mA, V=4.01V, P= 18.01W
32       | 45840.77        | 1830.16    | 恒压充电 (CV Charge)                    | I= 1159.7mA, V=4.20V, P=  4.87W
33       | 47700.94        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 48571.00        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14358.7mA, V=3.74V, P=-53.67W
35       | 48645.94        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.9mA, V=3.81V, P=-16.25W
36       | 49445.94        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16086.5mA, V=3.28V, P=-52.62W
37       | 49580.94        | 805.69     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
38       | 50416.62        | 839.60     | 恒流充电 (CC Charge)                    | I= 4489.0mA, V=4.01V, P= 18.01W
39       | 51286.22        | 1821.25    | 恒压充电 (CV Charge)                    | I= 1173.0mA, V=4.20V, P=  4.93W
40       | 53137.47        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 54007.52        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14351.8mA, V=3.74V, P=-53.67W
42       | 54082.47        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.4mA, V=3.81V, P=-16.25W
43       | 54882.47        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16093.7mA, V=3.28V, P=-52.63W
44       | 55017.47        | 864.22     | 静置 (Rest)                           | I=    0.0mA, V=3.68V, P=  0.00W
45       | 55911.69        | 839.58     | 恒流充电 (CC Charge)                    | I= 4488.8mA, V=4.01V, P= 18.01W
46       | 56781.27        | 1820.66    | 恒压充电 (CV Charge)                    | I= 1172.2mA, V=4.20V, P=  4.92W
47       | 58631.92        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 59501.97        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14347.8mA, V=3.74V, P=-53.67W
49       | 59576.92        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.8mA, V=3.81V, P=-16.25W
50       | 60376.92        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16098.0mA, V=3.28V, P=-52.62W
51       | 60511.92        | 793.88     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
52       | 61335.80        | 841.34     | 恒流充电 (CC Charge)                    | I= 4488.8mA, V=4.02V, P= 18.03W
53       | 62207.14        | 1811.35    | 恒压充电 (CV Charge)                    | I= 1168.7mA, V=4.20V, P=  4.91W
54       | 64048.49        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 64918.54        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14345.7mA, V=3.74V, P=-53.67W
56       | 64993.49        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.3mA, V=3.81V, P=-16.25W
57       | 65793.49        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16104.3mA, V=3.28V, P=-52.62W
58       | 65928.49        | 870.46     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
59       | 66828.94        | 841.54     | 恒流充电 (CC Charge)                    | I= 4488.7mA, V=4.02V, P= 18.03W
60       | 67700.48        | 1810.93    | 恒压充电 (CV Charge)                    | I= 1168.5mA, V=4.20V, P=  4.91W
61       | 69541.41        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 70411.46        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14345.3mA, V=3.74V, P=-53.67W
63       | 70486.41        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.5mA, V=3.81V, P=-16.25W
64       | 71286.41        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16113.4mA, V=3.28V, P=-52.62W
65       | 71421.41        | 873.85     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
66       | 72325.26        | 842.09     | 恒流充电 (CC Charge)                    | I= 4488.9mA, V=4.02V, P= 18.03W
67       | 73197.34        | 1811.59    | 恒压充电 (CV Charge)                    | I= 1167.7mA, V=4.20V, P=  4.90W
68       | 75038.93        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
69       | 75908.98        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14345.5mA, V=3.74V, P=-53.68W
70       | 75983.93        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4266.0mA, V=3.81V, P=-16.25W
71       | 76783.93        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16121.5mA, V=3.28V, P=-52.63W
72       | 76918.93        | 888.05     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
73       | 77836.98        | 842.45     | 恒流充电 (CC Charge)                    | I= 4488.8mA, V=4.02V, P= 18.03W
74       | 78709.43        | 1815.63    | 恒压充电 (CV Charge)                    | I= 1167.3mA, V=4.20V, P=  4.90W
75       | 80555.05        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
76       | 81425.11        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14343.1mA, V=3.75V, P=-53.68W
77       | 81500.06        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.5mA, V=3.81V, P=-16.25W
78       | 82300.05        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16123.6mA, V=3.28V, P=-52.63W
79       | 82435.05        | 835.01     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
80       | 83300.06        | 843.98     | 恒流充电 (CC Charge)                    | I= 4488.5mA, V=4.02V, P= 18.02W
81       | 84174.04        | 1802.58    | 恒压充电 (CV Charge)                    | I= 1164.4mA, V=4.20V, P=  4.89W
82       | 86006.62        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
83       | 86876.67        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14336.8mA, V=3.75V, P=-53.68W
84       | 86951.62        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4264.6mA, V=3.81V, P=-16.25W
85       | 87751.62        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16119.0mA, V=3.28V, P=-52.63W
86       | 87886.61        | 892.72     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
87       | 88809.34        | 843.94     | 恒流充电 (CC Charge)                    | I= 4488.8mA, V=4.02V, P= 18.02W
88       | 89683.28        | 1799.35    | 恒压充电 (CV Charge)                    | I= 1180.6mA, V=4.20V, P=  4.96W
89       | 91512.63        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
90       | 92382.68        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14332.5mA, V=3.75V, P=-53.68W
91       | 92457.63        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4264.0mA, V=3.81V, P=-16.25W
92       | 93257.63        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16118.6mA, V=3.28V, P=-52.63W
93       | 93392.62        | 932.81     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
94       | 94355.44        | 844.11     | 恒流充电 (CC Charge)                    | I= 4488.9mA, V=4.02V, P= 18.02W
95       | 95229.55        | 1801.61    | 恒压充电 (CV Charge)                    | I= 1162.2mA, V=4.20V, P=  4.88W
96       | 97061.15        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
97       | 97931.21        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14333.0mA, V=3.75V, P=-53.68W
98       | 98006.16        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4263.8mA, V=3.81V, P=-16.25W
99       | 98806.15        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16122.5mA, V=3.28V, P=-52.62W
100      | 98941.15        | 945.81     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
101      | 99916.96        | 844.57     | 恒流充电 (CC Charge)                    | I= 4489.0mA, V=4.02V, P= 18.02W
102      | 100791.54       | 1712.68    | 恒压充电 (CV Charge)                    | I= 1215.1mA, V=4.20V, P=  5.10W
103      | 102534.21       | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
104      | 103404.27       | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14335.4mA, V=3.75V, P=-53.68W
105      | 103479.22       | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4265.2mA, V=3.81V, P=-16.25W
