--- 分析日志 for: VAH28.csv ---
--- 协议: 10% power reduction ---

[高级数据清洗]: 发现并删除了 2 个数据点。

清洗后发现 8310 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5030.98    | 其他充电阶段                              | I= 1504.0mA, V=3.90V, P=  5.86W
2        | 5040.98         | 2337.44    | 恒压充电 (CV Charge)                    | I=  430.3mA, V=4.20V, P=  1.81W
3        | 7388.42         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 8278.46         | 3599.95    | RPT: C/5 容量测试放电                     | I= -595.7mA, V=4.06V, P= -2.42W
5        | 11878.42        | 30.00      | RPT: IR测量前静置                        | I=  -64.2mA, V=4.02V, P= -0.26W
6        | 11908.42        | 7200.00    | RPT: C/5 容量测试放电                     | I= -596.0mA, V=3.80V, P= -2.26W
7        | 19108.41        | 30.00      | RPT: IR测量前静置                        | I=  -63.9mA, V=3.64V, P= -0.23W
8        | 19138.41        | 7442.95    | RPT: C/5 容量测试放电                     | I= -595.8mA, V=3.29V, P= -1.96W

>>> RPT数据点记录: Capacity = 3020.38 mAh, Mission Cycle = 0 <<<

9        | 26591.37        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.77V, P=  0.00W
10       | 27511.37        | 3006.69    | 恒流充电 (CC Charge)                    | I= 3002.5mA, V=3.81V, P= 11.44W
11       | 30548.05        | 2213.36    | 恒压充电 (CV Charge)                    | I=  871.6mA, V=4.20V, P=  3.66W
12       | 32791.41        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33661.46        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-12842.3mA, V=3.76V, P=-48.19W
14       | 33736.41        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3799.6mA, V=3.84V, P=-14.57W
15       | 34536.41        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-14058.2mA, V=3.38V, P=-47.32W
16       | 34671.41        | 444.85     | 静置 (Rest)                           | I=    0.0mA, V=3.73V, P=  0.00W
17       | 35146.26        | 1197.02    | 恒流充电 (CC Charge)                    | I= 3002.5mA, V=4.02V, P= 12.07W
