--- 分析日志 for: VAH30.csv ---
--- 协议: Temp: 35 deg C ---

清洗后发现 6471 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5320.49    | 其他充电阶段                              | I= 1488.9mA, V=3.90V, P=  5.80W
2        | 5350.49         | 1170.41    | 恒压充电 (CV Charge)                    | I=  400.0mA, V=4.20V, P=  1.68W
3        | 6550.90         | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7420.95         | 3599.95    | RPT: C/5 容量测试放电                     | I= -611.3mA, V=4.07V, P= -2.49W
5        | 11020.90        | 30.00      | RPT: IR测量前静置                        | I=  -78.4mA, V=4.03V, P= -0.32W
6        | 11050.90        | 7200.00    | RPT: C/5 容量测试放电                     | I= -611.3mA, V=3.81V, P= -2.33W
7        | 18250.90        | 30.00      | RPT: IR测量前静置                        | I=  -78.9mA, V=3.65V, P= -0.29W
8        | 18280.90        | 7673.51    | RPT: C/5 容量测试放电                     | I= -611.3mA, V=3.31V, P= -2.02W

>>> RPT数据点记录: Capacity = 3138.30 mAh, Mission Cycle = 0 <<<

9        | 25984.41        | 870.00     | 静置 (Rest)                           | I=    0.0mA, V=2.71V, P=  0.00W
10       | 26884.40        | 3233.35    | 恒流充电 (CC Charge)                    | I= 2988.9mA, V=3.80V, P= 11.35W
11       | 30147.76        | 1274.65    | 恒压充电 (CV Charge)                    | I=  986.8mA, V=4.20V, P=  4.14W
12       | 31452.41        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 32322.45        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14111.4mA, V=3.81V, P=-53.72W
14       | 32397.41        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4235.6mA, V=3.84V, P=-16.26W
15       | 33197.41        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15635.9mA, V=3.37V, P=-52.58W
16       | 33332.41        | 963.43     | 静置 (Rest)                           | I=    0.0mA, V=3.69V, P=  0.00W
17       | 34325.84        | 1573.88    | 恒流充电 (CC Charge)                    | I= 2988.9mA, V=4.00V, P= 11.96W
18       | 35929.72        | 1208.22    | 恒压充电 (CV Charge)                    | I=  982.2mA, V=4.20V, P=  4.12W
19       | 37167.94        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
