--- 分析日志 for: VAH05.csv ---
--- 协议: 10% power reduction ---

[高级数据清洗]: 发现并删除了 1082 个数据点，这些点属于被识别为毛刺的短序列。

清洗后发现 10952 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5171.27    | 其他充电阶段                              | I= 1502.8mA, V=3.90V, P=  5.86W
2        | 5181.27         | 1864.29    | 恒压充电 (CV Charge)                    | I=  420.7mA, V=4.20V, P=  1.77W
3        | 7055.56         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7945.62         | 3599.93    | RPT: C/5 容量测试放电                     | I= -596.8mA, V=4.06V, P= -2.43W
5        | 11545.56        | 30.00      | RPT: IR测量前静置                        | I=  -64.3mA, V=4.02V, P= -0.26W
6        | 11575.56        | 7200.00    | RPT: C/5 容量测试放电                     | I= -597.0mA, V=3.81V, P= -2.27W
7        | 18775.56        | 30.00      | RPT: IR测量前静置                        | I=  -65.2mA, V=3.64V, P= -0.24W
8        | 18805.56        | 7482.63    | RPT: C/5 容量测试放电                     | I= -597.3mA, V=3.30V, P= -1.97W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3033.22 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26298.19        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.75V, P=  0.00W
10       | 27218.19        | 3063.69    | 恒流充电 (CC Charge)                    | I= 3002.6mA, V=3.81V, P= 11.44W
11       | 30311.88        | 1863.35    | 恒压充电 (CV Charge)                    | I=  943.6mA, V=4.20V, P=  3.96W
12       | 32205.23        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33075.28        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-12782.5mA, V=3.78V, P=-48.28W
14       | 33150.23        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-3787.7mA, V=3.85V, P=-14.57W
15       | 33950.23        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-13930.6mA, V=3.41V, P=-47.31W
16       | 34085.23        | 644.39     | 静置 (Rest)                           | I=    0.0mA, V=3.74V, P=  0.00W
17       | 34759.62        | 1235.72    | 恒流充电 (CC Charge)                    | I= 3001.9mA, V=4.03V, P= 12.09W
