--- 分析日志 for: VAH27.csv ---
--- 协议: Baseline ---

[高级数据清洗]: 发现并删除了 1 个数据点，这些点属于被识别为毛刺的短序列。

清洗后发现 4139 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5059.56    | 其他充电阶段                              | I= 1488.6mA, V=3.90V, P=  5.81W
2        | 5089.56         | 1872.23    | 恒压充电 (CV Charge)                    | I=  443.1mA, V=4.20V, P=  1.86W
3        | 6991.79         | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7861.85         | 3599.94    | RPT: C/5 容量测试放电                     | I= -611.6mA, V=4.06V, P= -2.49W
5        | 11461.79        | 30.00      | RPT: IR测量前静置                        | I=  -79.2mA, V=4.02V, P= -0.32W
6        | 11491.79        | 7200.00    | RPT: C/5 容量测试放电                     | I= -611.7mA, V=3.80V, P= -2.33W
7        | 18691.79        | 30.00      | RPT: IR测量前静置                        | I=  -79.5mA, V=3.64V, P= -0.29W
8        | 18721.79        | 7559.71    | RPT: C/5 容量测试放电                     | I= -611.6mA, V=3.29V, P= -2.02W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3120.68 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26311.50        | 870.00     | 静置 (Rest)                           | I=    0.0mA, V=2.77V, P=  0.00W
10       | 27211.50        | 3027.91    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=3.81V, P= 11.37W
11       | 30269.41        | 1940.89    | 恒压充电 (CV Charge)                    | I=  929.3mA, V=4.20V, P=  3.90W
12       | 32240.30        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33110.36        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14401.2mA, V=3.73V, P=-53.65W
14       | 33185.30        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4275.0mA, V=3.81V, P=-16.26W
15       | 33985.30        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16058.5mA, V=3.28V, P=-52.55W
16       | 34120.30        | 693.25     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
17       | 34843.55        | 1438.74    | 恒流充电 (CC Charge)                    | I= 2987.8mA, V=3.99V, P= 11.93W
18       | 36312.29        | 1815.21    | 恒压充电 (CV Charge)                    | I=  940.3mA, V=4.20V, P=  3.95W
19       | 38157.50        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 39027.55        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14384.1mA, V=3.73V, P=-53.65W
21       | 39102.50        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.7mA, V=3.81V, P=-16.26W
22       | 39902.50        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16080.0mA, V=3.28V, P=-52.56W
23       | 40037.49        | 719.71     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
24       | 40787.21        | 1441.04    | 恒流充电 (CC Charge)                    | I= 2987.1mA, V=4.00V, P= 11.94W
25       | 42258.25        | 1792.97    | 恒压充电 (CV Charge)                    | I=  945.4mA, V=4.20V, P=  3.97W
26       | 44081.22        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 44951.27        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14378.6mA, V=3.74V, P=-53.66W
28       | 45026.22        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4273.2mA, V=3.81V, P=-16.26W
29       | 45826.22        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16098.3mA, V=3.28V, P=-52.56W
30       | 45961.21        | 728.84     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
31       | 46720.05        | 1444.42    | 恒流充电 (CC Charge)                    | I= 2987.6mA, V=4.00V, P= 11.94W
32       | 48194.47        | 1706.37    | 恒压充电 (CV Charge)                    | I=  982.7mA, V=4.20V, P=  4.13W
33       | 49930.84        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 50800.89        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14378.2mA, V=3.74V, P=-53.66W
35       | 50875.84        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.0mA, V=3.81V, P=-16.26W
36       | 51675.84        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16119.3mA, V=3.27V, P=-52.55W
37       | 51810.84        | 724.81     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
38       | 52565.65        | 1450.78    | 恒流充电 (CC Charge)                    | I= 2987.2mA, V=3.99V, P= 11.93W
39       | 54046.42        | 1783.92    | 恒压充电 (CV Charge)                    | I=  938.8mA, V=4.20V, P=  3.94W
40       | 55860.35        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 56730.40        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14373.6mA, V=3.74V, P=-53.66W
42       | 56805.35        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4274.1mA, V=3.81V, P=-16.27W
43       | 57605.35        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16131.5mA, V=3.27V, P=-52.56W
44       | 57740.35        | 713.55     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
45       | 58483.90        | 1448.32    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=4.00V, P= 11.94W
46       | 59962.22        | 1777.38    | 恒压充电 (CV Charge)                    | I=  937.5mA, V=4.20V, P=  3.94W
47       | 61769.60        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 62639.65        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14363.5mA, V=3.74V, P=-53.67W
49       | 62714.60        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4272.2mA, V=3.81V, P=-16.26W
50       | 63514.60        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16122.2mA, V=3.27V, P=-52.56W
51       | 63649.60        | 739.29     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
52       | 64418.89        | 1453.27    | 恒流充电 (CC Charge)                    | I= 2987.6mA, V=3.99V, P= 11.93W
53       | 65902.16        | 1746.91    | 恒压充电 (CV Charge)                    | I=  941.7mA, V=4.20V, P=  3.95W
54       | 67679.06        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 68549.11        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14349.2mA, V=3.74V, P=-53.66W
56       | 68624.06        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4270.5mA, V=3.81V, P=-16.26W
57       | 69424.06        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16124.2mA, V=3.27V, P=-52.57W
58       | 69559.06        | 772.15     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
59       | 70361.21        | 1455.44    | 恒流充电 (CC Charge)                    | I= 2987.9mA, V=3.99V, P= 11.93W
60       | 71846.65        | 1727.73    | 恒压充电 (CV Charge)                    | I=  952.6mA, V=4.20V, P=  4.00W
61       | 73604.38        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 74474.43        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14340.3mA, V=3.75V, P=-53.67W
63       | 74549.38        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4269.2mA, V=3.81V, P=-16.26W
64       | 75349.38        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16107.8mA, V=3.28V, P=-52.56W
65       | 75484.38        | 851.89     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
66       | 76366.27        | 1462.23    | 恒流充电 (CC Charge)                    | I= 2987.6mA, V=3.99V, P= 11.93W
67       | 77858.50        | 1699.75    | 恒压充电 (CV Charge)                    | I=  956.2mA, V=4.20V, P=  4.02W
68       | 79588.24        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
69       | 80458.30        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14329.3mA, V=3.75V, P=-53.67W
70       | 80533.25        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4267.7mA, V=3.81V, P=-16.26W
71       | 81333.24        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16095.4mA, V=3.28V, P=-52.55W
72       | 81468.24        | 904.71     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
73       | 82402.95        | 1464.31    | 恒流充电 (CC Charge)                    | I= 2987.5mA, V=3.99V, P= 11.93W
74       | 83897.26        | 1684.06    | 恒压充电 (CV Charge)                    | I=  951.3mA, V=4.20V, P=  4.00W
75       | 85611.32        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
76       | 86481.37        | 74.94      | 任务剖面: 起飞 (Take-off)                 | I=-14327.7mA, V=3.75V, P=-53.67W
77       | 86556.32        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4268.4mA, V=3.81V, P=-16.27W
78       | 87356.32        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16102.2mA, V=3.28V, P=-52.56W
79       | 87491.32        | 901.58     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
80       | 88422.90        | 1464.45    | 恒流充电 (CC Charge)                    | I= 2987.6mA, V=3.99V, P= 11.93W
81       | 89917.35        | 1704.30    | 恒压充电 (CV Charge)                    | I=  951.1mA, V=4.20V, P=  3.99W
82       | 91651.65        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
83       | 92521.70        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14332.2mA, V=3.75V, P=-53.67W
84       | 92596.66        | 800.00     | 任务剖面: 巡航 (Cruise)                   | I=-4269.2mA, V=3.81V, P=-16.27W
85       | 93396.65        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16121.8mA, V=3.27V, P=-52.57W
86       | 93531.65        | 864.01     | 静置 (Rest)                           | I=    0.0mA, V=3.67V, P=  0.00W
87       | 94425.66        | 1461.13    | 恒流充电 (CC Charge)                    | I= 2987.9mA, V=3.99V, P= 11.93W
88       | 95916.79        | 1725.35    | 恒压充电 (CV Charge)                    | I=  941.1mA, V=4.20V, P=  3.95W
